#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2023-04-06T20:37:25 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ642f2c8d2a0b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=34	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/444/3258&tab:{J/MNRAS/444/3258/SNe}&key:source=J/MNRAS/444/3258&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/444/3258/SNe
#-order=I
#-out=SN
#-out=z
#-out=S
#-out=MJDmax
#-out=Phase
#-out=V4130
#-out=e_V4130
#-out=W4130
#-out=e_W4130
#-out=V5972
#-out=e_V5972
#-out=W5972
#-out=e_W5972
#-out=V5355
#-out=e_V5355
#-out=W5355
#-out=e_W5355
#-out=V-PVF
#-out=e_V-PVF
#-out=W-PVF
#-out=e_W-PVF
#-out=V-HVF
#-out=e_V-HVF
#-out=W-HVF
#-out=e_W-HVF
#

#RESOURCE=yCat_74443258
#Name: J/MNRAS/444/3258
#Title: Velocities and EW of PTF SNe Ia (Maguire+, 2014)
#Table	J_MNRAS_444_3258_SNe:
#Name: J/MNRAS/444/3258/SNe
#Title: Light-curve information, heliocentric  redshift and spectral measurement information for each SN Ia in the sample
#Column	SN	(A9)	Supernova designation	[ucd=meta.id;meta.main]
#Column	z	(F9.6)	[0/0.2] Heliocentric redshift	[ucd=src.redshift]
#Column	S	(F5.2)	[0.6/1.7] Stretch parameter	[ucd=stat.fit.param]
#Column	MJDmax	(F7.1)	Maximum light MJD	[ucd=time.epoch]
#Column	Phase	(F5.1)	[-18/5] Phase (days after maximum)	[ucd=time.interval]
#Column	V4130	(I5)	[7699/13958]? SiII 4130 line velocity [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V4130	(I4)	[25/2222]? rms uncertainty on V4130 (1) [NULL integer written as an empty string]	[ucd=stat.error]
#Column	W4130	(F4.1)	[1/38]? SiII 4130 pseudo-equivalent width	[ucd=spect.line.width]
#Column	e_W4130	(F4.1)	[0.1/4]? rms uncertainty on W4130 (1)	[ucd=stat.error]
#Column	V5972	(I5)	[8000/19000]? SiII 5972 line velocity [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V5972	(I4)	[15/5352]? rms uncertainty on V5972 (1) [NULL integer written as an empty string]	[ucd=stat.error]
#Column	W5972	(F4.1)	[3/58]? SiII 5972 pseudo-equivalent width	[ucd=spect.line.width]
#Column	e_W5972	(F4.1)	[0.2/3.5]? rms uncertainty on W5972 (1)	[ucd=stat.error]
#Column	V5355	(I5)	[8400/21300]? SiII 5355 line velocity [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V5355	(I4)	[3/600]? rms uncertainty on V5355 (1) [NULL integer written as an empty string]	[ucd=stat.error]
#Column	W5355	(F5.1)	[9/227]? SiII 5355 pseudo-equivalent width	[ucd=spect.line.width]
#Column	e_W5355	(F4.1)	[0.1/7.6]? rms uncertainty on W5355 (1)	[ucd=stat.error]
#Column	V-PVF	(I5)	[8220/25150]? - PVF line velocity (2) [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V-PVF	(I4)	[6/3741]? rms uncertainty on V-PVF (1) [NULL integer written as an empty string]	[ucd=stat.error]
#Column	W-PVF	(F5.1)	[17/343]? - PVF pseudo-equivalent width (2)	[ucd=spect.line.width]
#Column	e_W-PVF	(F4.1)	[0.1/59]? rms uncertainty on W-PVF (1)	[ucd=stat.error]
#Column	V-HVF	(I5)	[14789/38210]? - HVF line velocity (2) [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V-HVF	(I4)	[6/3741]? rms uncertainty on V-HVF (1) [NULL integer written as an empty string]	[ucd=stat.error;phot.color;em.opt.V]
#Column	W-HVF	(F5.1)	[0/426]? - HVF pseudo-equivalent width (2)	[ucd=spect.line.width]
#Column	e_W-HVF	(F4.1)	[0/57]? rms uncertainty on W-HVF (1)	[ucd=stat.error]
SN|z|S|MJDmax|Phase|V4130|e_V4130|W4130|e_W4130|V5972|e_V5972|W5972|e_W5972|V5355|e_V5355|W5355|e_W5355|V-PVF|e_V-PVF|W-PVF|e_W-PVF|V-HVF|e_V-HVF|W-HVF|e_W-HVF
PTF10jqz | 0.120000| 1.11|55364.5| -4.5|     |    |    |    |     |    |    |    |10179| 310| 30.5| 1.2|     |    |     |    |     |    |     |
PTF10jtp | 0.067000| 0.90|55364.0| -5.0| 9537| 307|21.9| 1.2| 9341| 303|31.4| 1.0|10697| 298| 79.3| 0.3|11010|1126| 45.6| 1.2|22487|1126| 15.5| 1.4
PTF10jwx | 0.067700| 0.86|55367.3| -7.3|11362|  86| 6.6| 1.0|     |    |    |    |11240|  98| 47.5| 1.3|     |    |     |    |     |    |     |
PTF10kzf | 0.113000| 1.06|55366.6| -2.6|     |    |    |    |     |    |    |    |10338| 325| 30.1| 1.9|     |    |     |    |     |    |     |
PTF10lot | 0.022542| 1.02|55381.4|  1.6|10270| 145|22.8| 1.6|     |    |    |    |12802|  17|173.4| 0.7| 9978|  42|128.0| 1.8|16105|  42|170.8| 2.3
PTF10lya | 0.063040| 1.04|55380.3| -4.3|     |    |    |    |     |    |    |    | 9459| 151| 18.9| 1.0|     |    |     |    |     |    |     |
PTF10mtd | 0.079000| 0.99|55384.8| -0.7|10458| 306| 4.1| 0.4|10565| 307| 4.1| 0.3|11248| 298| 67.3| 0.6|     |    |     |    |     |    |     |
PTF10mwb | 0.030000| 0.96|55390.8|-13.8|     |    |    |    |11043| 302|22.8| 0.7|13813| 298|130.1| 0.5|12138| 302|166.0| 3.3|18916| 302|105.0| 2.3
PTF10mwb | 0.030000| 0.96|55390.8| -6.8| 8586| 306|14.9| 0.7| 9453| 298|19.2| 0.2|10842| 298|108.2| 0.5| 9308| 298| 93.4| 0.4|17699| 298| 70.9| 0.5
PTF10mwb | 0.030000| 0.96|55390.8| -6.8| 8823| 305|17.2| 0.7| 9467| 298|19.1| 0.3|10848| 298|101.6| 0.4| 9461| 299| 79.9| 0.8|17803| 299| 57.7| 0.7
PTF10mwb | 0.030000| 0.96|55390.8| -2.8| 8358| 309|15.7| 1.0| 8894| 300|16.6| 0.5|10176| 298|105.0| 0.3|     |    |     |    |     |    |     |
PTF10mwb | 0.030000| 0.96|55390.8| -1.8| 8338| 307|16.3| 0.7| 9211| 302|19.6| 1.0| 9872| 298|101.1| 0.6| 8673|1324|127.0|14.0|17634|1324| 39.2| 7.2
PTF10mwb | 0.030000| 0.96|55390.8|  0.2| 8226| 310|22.1| 0.6| 9245| 298|19.2| 0.3| 9909| 298|116.3| 0.3|     |    |     |    |     |    |     |
PTF10ncu | 0.070000| 0.89|55380.5|  2.5|     |    |    |    |     |    |    |    |10453| 298|166.0| 0.9|     |    |     |    |     |    |     |
PTF10ncy | 0.130000| 1.08|55385.0| -2.0|     |    |    |    |     |    |    |    | 9697| 301| 66.8| 2.4|     |    |     |    |     |    |     |
PTF10ncz | 0.170000| 1.16|55380.9|  2.1|     |    |    |    |     |    |    |    |10429| 312| 83.4| 3.1|     |    |     |    |     |    |     |
PTF10nda | 0.100670| 0.85|55383.9|  0.1| 9436|  51| 7.9| 0.5|     |    |    |    |10985|  27| 98.1| 1.1|     |    |     |    |     |    |     |
PTF10ndc | 0.081800| 1.04|55390.1| -6.1|10836|  85| 5.5| 0.8|     |    |    |    |12414|  37| 76.4| 0.8|     |    |     |    |     |    |     |
PTF10ndi | 0.164000| 0.88|55379.6|  4.4|     |    |    |    |     |    |    |    |10625| 310| 22.9| 1.1|     |    |     |    |     |    |     |
PTF10ndn | 0.103321| 0.92|55386.4| -3.4|10945| 127|13.1| 1.6|10791| 296|13.5| 2.3|13122|  54|119.1| 2.3|     |    |     |    |     |    |     |
PTF10nhu | 0.153000| 1.03|55383.9|  0.1|     |    |    |    |     |    |    |    | 9163| 326| 50.1| 1.7|     |    |     |    |     |    |     |
PTF10nkd | 0.069000| 0.87|55389.4| -5.4|     |    |    |    |     |    |    |    |12976| 302| 99.6| 1.8|     |    |     |    |     |    |     |
PTF10nlg | 0.056200| 0.98|55391.8| -7.8|     |    |    |    |12879|  84| 9.5| 0.5|14420|  52| 78.4| 1.2|12532|  33| 33.1| 0.9|21853|  33| 59.8| 0.4
PTF10nlg | 0.056200| 0.98|55391.8| -0.8|     |    |    |    |     |    |    |    |12813|  36| 79.6| 0.6|     |    |     |    |     |    |     |
PTF10nnh | 0.150000| 0.77|55383.1|  0.9|     |    |    |    |     |    |    |    |10670| 316| 41.8| 1.9|     |    |     |    |     |    |     |
PTF10nvh | 0.068000| 1.29|55390.4| -2.4| 9780| 300|13.9| 0.6| 9732| 363|13.0| 1.3|10843| 298|101.2| 0.3|     |    |     |    |     |    |     |
PTF10nyt | 0.109000| 1.14|55394.8| -3.8|     |    |    |    |     |    |    |    |11012| 311| 22.7| 1.7|     |    |     |    |     |    |     |
PTF10one | 0.099000| 0.85|55395.6| -4.6|     |    |    |    |     |    |    |    |11821| 320| 31.0| 1.3|     |    |     |    |     |    |     |
PTF10opq | 0.144000| 1.10|55387.1|  3.9| 9541| 322|17.6| 1.1|11506| 342|51.6| 3.0|11739| 339|135.2| 5.8|     |    |     |    |     |    |     |
PTF10otc | 0.054000| 0.72|55390.1|  0.9| 9889| 317|19.8| 0.9|10588| 301|14.0| 0.5|10243| 299| 51.6| 0.6|     |    |     |    |     |    |     |
PTF10oth | 0.145500| 0.85|55393.3|  1.7|     |    |    |    |     |    |    |    |11289|  69|121.5| 2.7|     |    |     |    |     |    |     |
PTF10oum | 0.111000| 1.06|55395.1| -3.1|10799| 313|17.7| 1.1|11535| 300|20.3| 0.7|11764| 298|114.5| 0.5|     |    |     |    |     |    |     |
PTF10pdf | 0.075900| 1.17|55407.1| -8.1|     |    |    |    |     |    |    |    |13957|  37| 86.0| 0.6|12039|  75| 47.7| 2.9|23303|  75|110.1| 2.8
PTF10pvh | 0.105000| 1.18|55408.6|  1.4|     |    |    |    |     |    |    |    |10504| 300| 60.7| 1.3|     |    |     |    |     |    |     |
PTF10pvi | 0.080300| 0.98|55409.6|  0.4|10060| 250| 4.7| 0.9|     |    |    |    |11286|  55| 97.0| 1.8|10977| 416|128.6| 7.8|17385| 416| 20.2| 0.9
PTF10px  | 0.038293| 0.86|55207.9|  2.1|     |    |    |    | 9342|  41|40.9| 1.2|10151|  18|132.8| 0.4| 9949|2891|213.0|48.8|16914|2891| 79.1|45.5
PTF10qfo | 0.078000| 1.10|55411.4| -7.4|10941| 306| 7.8| 1.7|     |    |    |    |11823| 301| 60.1| 1.3|     |    |     |    |     |    |     |
PTF10qfo | 0.078000| 1.10|55411.4| -1.4| 9827| 310| 4.4| 0.9| 9619| 305|12.3| 0.5|11050| 298| 89.1| 1.0|     |    |     |    |     |    |     |
PTF10qhp | 0.032000| 0.92|55407.4|  1.6|     |    |    |    |10307| 311|27.2| 0.8|11488| 299|134.9| 1.0| 8616| 304|104.6| 3.0|15993| 304|105.5| 1.6
PTF10qjl | 0.057800| 0.92|55418.7| -8.7|10640| 153| 4.8| 0.5|     |    |    |    |12378| 154| 73.6| 1.4| 9602| 168| 45.8| 4.8|22090| 168| 99.2| 3.0
PTF10qjl | 0.057800| 0.92|55418.7| -0.7|10323| 158| 4.9| 0.5|     |    |    |    |11109| 149| 76.8| 0.4|     |    |     |    |     |    |     |
PTF10qjq | 0.028400| 0.90|55420.7|-10.7|     |    |    |    |10293| 152| 8.4| 0.5|11481| 151| 34.6| 0.6|     |    |     |    |     |    |     |
PTF10qjq | 0.028400| 0.90|55420.7| -2.7|10353| 172| 8.5| 1.0| 8951| 167| 9.4| 0.5|11057| 149| 56.3| 0.2|     |    |     |    |     |    |     |
PTF10qjq | 0.028400| 0.90|55420.7|  0.3|     |    |    |    | 9250| 159| 8.2| 0.2|10813| 149| 69.3| 0.5| 9673| 156| 51.0| 0.6|17628| 156|  4.8| 0.6
PTF10qjq | 0.028400| 0.90|55420.7|  3.3|10541|2222| 8.3| 1.2| 8831| 167|10.0| 0.3|10780| 149| 63.8| 0.2|     |    |     |    |     |    |     |
PTF10qkf | 0.081000| 0.98|55412.5| -2.5|11508| 417| 1.6| 0.4|     |    |    |    |10156| 303| 41.4| 1.2|     |    |     |    |     |    |     |
PTF10qkv | 0.061000| 0.99|55413.9| -3.9|     |    |    |    |     |    |    |    |10284| 299| 77.7| 1.4|     |    |     |    |     |    |     |
PTF10qky | 0.075000| 1.06|55420.3|-10.3|     |    |    |    |     |    |    |    |11929| 362| 55.6| 4.2|     |    |     |    |     |    |     |
PTF10qky | 0.075000| 1.06|55420.3|  0.7| 9796| 304| 5.4| 0.7| 9446| 324| 7.8| 0.7|10448| 298| 77.0| 0.4| 9833| 327| 46.3| 2.4|19527| 327| 56.4| 2.7
PTF10qna | 0.094500| 0.97|55418.3|  2.7|10170|  92| 5.3| 0.3| 9995| 330|25.8| 2.5|11188|  89| 86.1| 0.6|     |    |     |    |     |    |     |
PTF10qny | 0.033000| 1.20|55419.3| -1.3|     |    |    |    |     |    |    |    |11664| 298| 32.1| 0.8|     |    |     |    |     |    |     |
PTF10qny | 0.033000| 1.20|55419.3|  1.7|11428| 319| 3.3| 0.5|     |    |    |    |11581| 298| 38.4| 0.2|     |    |     |    |     |    |     |
PTF10qoj | 0.110000| 1.07|55420.0| -4.0|     |    |    |    |     |    |    |    |10425| 298| 63.6| 0.6|     |    |     |    |     |    |     |
PTF10qsc | 0.088000| 1.20|55422.1| -6.1|11348| 309| 2.7| 0.4|     |    |    |    |11602| 303| 43.9| 1.1|     |    |     |    |     |    |     |
PTF10qsc | 0.088000| 1.20|55422.1| -3.1|     |    |    |    |     |    |    |    |10768| 302| 30.0| 0.7|     |    |     |    |     |    |     |
PTF10qsc | 0.088000| 1.20|55422.1| -1.1|10907| 299| 1.3| 0.2|     |    |    |    |10777| 299| 64.5| 0.9| 9675| 349| 44.7| 4.1|19123| 349| 74.2| 6.0
PTF10qsc | 0.088000| 1.20|55422.1|  0.9|10056| 303| 3.7| 0.3|     |    |    |    |10441| 299| 62.7| 0.9|     |    |     |    |     |    |     |
PTF10qsc | 0.088000| 1.20|55422.1|  1.9|10897| 299| 2.8| 0.3|     |    |    |    |10256| 298| 55.8| 0.3|     |    |     |    |     |    |     |
PTF10qwg | 0.071000| 0.96|55424.5| -5.5|12743| 301|12.0| 0.8|12655| 319|12.2| 0.7|13362| 298| 65.8| 0.8|     |    |     |    |     |    |     |
PTF10qwg | 0.071000| 0.96|55424.5| -1.5|12012| 307|15.2| 0.8|     |    |    |    |13006| 298| 89.9| 0.5|     |    |     |    |     |    |     |
PTF10qyq | 0.160000| 0.86|55422.0| -1.0|10641|1807|11.0| 1.8|     |    |    |    |10592| 314| 61.2| 2.6|     |    |     |    |     |    |     |
PTF10rab | 0.084880| 1.03|55425.7| -3.7|10723|  38| 7.0| 0.6|12008|  74|13.3| 0.8|11915|  28| 99.1| 1.3| 8936|  65| 75.2| 5.6|19444|  65|246.8| 7.6
PTF10rab | 0.084880| 1.03|55425.7| -0.7| 9679| 112| 6.0| 1.3|     |    |    |    |11296|  70| 77.6| 2.3|     |    |     |    |     |    |     |
PTF10ran | 0.160000| 0.76|55420.2|  0.8|10560| 316| 6.4| 0.9|     |    |    |    |11127| 303| 94.7| 2.4|     |    |     |    |     |    |     |
PTF10rbc | 0.090000| 1.21|55426.1| -4.1|     |    |    |    |     |    |    |    |10601| 299| 63.2| 0.9|     |    |     |    |     |    |     |
PTF10rbp | 0.079000| 1.05|55430.2| -9.2| 9939| 313| 6.4| 1.1|10953| 338|12.1| 1.0|11476| 300| 65.5| 1.2|     |    |     |    |     |    |     |
PTF10rgn | 0.093000| 1.06|55429.0| -7.0|     |    |    |    |     |    |    |    |12001| 378| 33.1| 1.3|     |    |     |    |     |    |     |
PTF10rhi | 0.084900| 1.03|55424.8| -2.8|     |    |    |    |     |    |    |    |11257|  46| 53.6| 1.2|     |    |     |    |     |    |     |
PTF10rks | 0.058000| 0.87|55424.0|  1.0|     |    |    |    | 8313|4683|    |    |11043| 299| 80.2| 0.8|     |    |     |    |     |    |     |
PTF10rlq | 0.100000| 1.19|55417.0|  5.0|     |    |    |    |     |    |    |    |10885| 323| 43.0| 2.4|     |    |     |    |     |    |     |
PTF10tce | 0.040952| 1.05|55442.3| -9.3|12241|  83| 7.0| 0.8|12755|  66|18.3| 0.6|14519|   9|106.6| 0.3|13958|1532| 83.0|23.3|24162|1532|194.9|26.0
PTF10tce | 0.040952| 1.05|55442.3| -0.3|11861|  43|10.1| 0.4|12485|  20|13.0| 0.2|12362|  13|109.6| 0.4|12092|  52|127.5| 3.0|19226|  52| 59.3| 0.5
PTF10tce | 0.040952| 1.05|55442.3|  0.7|11104| 121|13.5| 1.1|12608|  84|14.4| 0.5|12409|   8|111.9| 0.3|12514| 111|170.5| 3.4|20151| 111| 25.1| 1.0
PTF10tqy | 0.045000| 0.73|55444.4| -3.4|10565| 307|22.8| 1.2|11516| 306|22.7| 1.3|12050| 298|105.1| 0.7|11303| 363|103.4| 1.2|17879| 363| 25.9| 2.7
PTF10tqy | 0.045000| 0.73|55444.4| -0.4|10670| 304|23.4| 0.9|10512| 298|30.1| 0.5|11568| 298|121.9| 0.2|11447| 298|159.2| 0.4|18297| 298| 12.3| 0.3
PTF10trp | 0.049000| 1.15|55449.6| -6.6|     |    |    |    |     |    |    |    |10475| 327| 12.6| 0.8|     |    |     |    |     |    |     |
PTF10trr | 0.120000| 1.26|55443.2| -2.2|10275| 350| 7.7| 1.5|     |    |    |    |12176| 299|111.3| 0.9|     |    |     |    |     |    |     |
PTF10trr | 0.120000| 1.26|55443.2| -0.2|10226| 320|10.1| 1.7|     |    |    |    |11382| 303|107.2| 1.8|     |    |     |    |     |    |     |
PTF10trs | 0.073000| 0.64|55442.4| -2.4|10623| 305|13.6| 1.2|10239| 301|18.5| 0.9|11589| 298| 98.4| 0.5|10916| 317| 83.4| 0.9|18610| 317| 11.5| 1.0
PTF10trs | 0.073000| 0.64|55442.4| -0.4|10370| 308|18.2| 0.9|10311| 302|17.4| 0.7|11248| 298|102.3| 0.3|     |    |     |    |     |    |     |
PTF10trs | 0.073000| 0.64|55442.4|  0.6|10501| 299|16.3| 0.5|10789| 301|19.3| 0.5|11250| 298|107.4| 0.2|     |    |     |    |     |    |     |
PTF10trw | 0.170000| 1.30|55442.0|  2.0| 9277| 334|12.7| 1.3|     |    |    |    |10355| 300| 74.9| 1.2|     |    |     |    |     |    |     |
PTF10twd | 0.073400| 1.09|55445.1| -2.1|11646|  40| 4.1| 0.7|     |    |    |    |11646|  38| 50.8| 0.5|     |    |     |    |     |    |     |
PTF10ucl | 0.080000| 0.90|55444.1| -1.1| 9734| 301| 7.2| 0.6|10462| 331|24.8| 2.5|10541| 298| 85.4| 0.6|     |    |     |    |     |    |     |
PTF10ufj | 0.073000| 0.97|55456.5|-12.5| 9921| 315| 3.1| 0.5|     |    |    |    |13043| 311|109.9| 2.2|     |    |     |    |     |    |     |
PTF10ufj | 0.073000| 0.97|55456.5| -8.5| 9360| 316| 7.1| 0.9|10787| 301| 6.5| 1.2|10602| 300| 95.8| 1.7|     |    |     |    |     |    |     |
PTF10ufj | 0.073000| 0.97|55456.5| -2.5| 8722| 304|12.4| 0.5|     |    |    |    |10134| 298| 81.5| 0.6| 9424| 723|169.2|32.9|20510| 723| 96.6|12.4
PTF10uic | 0.130000| 0.94|55442.7|  4.3|     |    |    |    |     |    |    |    | 9967| 412| 31.6| 2.5|     |    |     |    |     |    |     |
PTF10ujt | 0.140000| 1.17|55454.7| -5.7|     |    |    |    |     |    |    |    |10498| 353| 36.6| 2.8|     |    |     |    |     |    |     |
PTF10umy | 0.084910| 1.15|55461.6|-12.6|12347|  59|14.4| 1.0|     |    |    |    |14227| 163| 77.7| 3.7|     |    |     |    |     |    |     |
PTF10urn | 0.110000| 0.92|55453.3|  0.7|     |    |    |    |     |    |    |    |10972| 600| 46.0| 1.3|     |    |     |    |     |    |     |
PTF10vfo | 0.088500| 0.84|55458.4| -1.4|     |    |    |    |     |    |    |    |12488|  69| 95.9| 1.8|     |    |     |    |     |    |     |
PTF10viq | 0.034410| 1.09|55452.4|  2.6|10937|  71| 7.9| 0.7|12188|  57| 7.9| 0.2|12480|  14| 72.9| 0.6|12169|  31| 74.8| 0.3|20082|  31| 35.7| 0.3
PTF10vnu | 0.046110| 1.12|55457.3|  4.7| 8732|  29|24.0| 0.3|     |    |    |    |10106|  14|110.5| 0.7|     |    |     |    |     |    |     |
PTF10wnm | 0.065600| 0.99|55476.5| -9.5|11703| 534|10.5| 1.8|12891| 334| 9.3| 1.0|12233|  45| 53.4| 0.8|     |    |     |    |     |    |     |
PTF10wnm | 0.065600| 0.99|55476.5| -5.5|10220| 139| 6.7| 1.0|     |    |    |    |11681|  32| 65.0| 0.7|     |    |     |    |     |    |     |
PTF10wnm | 0.065600| 0.99|55476.5|  2.5|10148|  53| 6.7| 0.6|     |    |    |    |10910|  32| 83.3| 0.5|     |    |     |    |     |    |     |
PTF10wnq | 0.070000| 0.90|55472.5| -1.5| 9095| 299| 6.9| 0.8|     |    |    |    |11681| 303| 84.1| 2.1|     |    |     |    |     |    |     |
PTF10wof | 0.052700| 0.99|55474.3| -6.3|11342| 180|13.6| 1.1|12645| 170|18.8| 0.8|13948| 149|135.7| 0.4|12152| 149| 99.1| 1.0|20576| 149|130.7| 0.4
PTF10wof | 0.052700| 0.99|55474.3| -3.3|10340| 170|10.3| 0.8|11654| 162|11.7| 0.6|12905| 149|127.1| 0.4|     |    |     |    |     |    |     |
PTF10wof | 0.052700| 0.99|55474.3|  4.7| 9795| 166|22.3| 0.8|11820| 154|16.8| 0.5|11414| 149|128.9| 0.5|11095| 175|140.4| 2.9|15610| 175| 49.7| 1.4
PTF10wor | 0.057000| 0.64|55464.6|  3.4|     |    |    |    | 9851| 298|47.8| 0.6|11247| 299|168.4| 1.0|11407|1967|342.2|58.3|16241|1967| 75.2|56.9
PTF10wov | 0.096000| 1.18|55476.7|  2.3|     |    |    |    |     |    |    |    |10368| 299| 47.8| 0.8|     |    |     |    |     |    |     |
PTF10wri | 0.120000| 1.21|55467.2| -0.2| 9309| 347|26.0| 2.5|10121| 310|33.5| 1.7|11595| 298|160.7| 1.2|     |    |     |    |     |    |     |
PTF10xir | 0.052000| 1.11|55480.1| -2.1| 9166| 302| 9.9| 0.7| 9908| 299|16.1| 0.3|10692| 298| 79.9| 0.8|     |    |     |    |     |    |     |
PTF10xtp | 0.101600| 1.10|55479.1|  0.9| 9249|  79| 7.6| 0.6|     |    |    |    |10391| 107| 58.2| 2.0|     |    |     |    |     |    |     |
PTF10xtu | 0.110000| 0.90|55481.8| -3.8|10534| 300| 8.4| 0.7|     |    |    |    |12651| 301|121.8| 1.7|     |    |     |    |     |    |     |
PTF10xua | 0.093460| 1.14|55481.6| -3.6|10721|  71|26.6| 1.3|10864| 116|37.5| 1.9|12348|  30|141.0| 1.2|     |    |     |    |     |    |     |
PTF10xyl | 0.056000| 0.75|55476.8|  3.2| 9883| 307|20.3| 1.0|10028| 308|13.9| 1.0|10775| 298| 83.3| 0.4|     |    |     |    |     |    |     |
PTF10xyt | 0.049000| 1.07|55490.8|-10.8|     |    |    |    |     |    |    |    |14842| 429| 61.4| 4.0|     |    |     |    |     |    |     |
PTF10xyt | 0.049000| 1.07|55490.8| -8.8|12362| 320| 5.5| 0.9|12204| 315|11.3| 0.4|13985| 307| 63.4| 1.9|12858| 299| 22.7| 0.4|23172| 299| 86.4| 1.0
PTF10xyt | 0.049000| 1.07|55490.8| -4.8|12153| 319| 2.7| 0.6|     |    |    |    |12632| 310| 72.8| 2.3|     |    |     |    |     |    |     |
PTF10ygr | 0.120000| 0.99|55487.1| -1.1|10442| 298| 4.9| 0.3|     |    |    |    |10177| 319| 73.0| 4.7|     |    |     |    |     |    |     |
PTF10ygr | 0.120000| 0.99|55487.1| -4.1| 9722| 306| 7.6| 0.8|     |    |    |    |10816| 298| 59.5| 0.9|     |    |     |    |     |    |     |
PTF10ygu | 0.025047| 1.06|55495.8|-13.8|     |    |    |    |     |    |    |    |21268|  10|109.6| 1.3|25150| 621|178.2| 8.4|38210| 621|138.3|12.4
PTF10ygu | 0.025047| 1.06|55495.8|-12.8|     |    |    |    |18507|  86|18.4| 0.8|20007|   7|124.7| 0.4|22677| 209|154.7| 7.1|32117| 209|170.4| 6.1
PTF10ygu | 0.025047| 1.06|55495.8|-10.8|     |    |    |    |     |    |    |    |19207|  30|115.6| 1.0|     |    |     |    |     |    |     |
PTF10ygu | 0.025047| 1.06|55495.8| -9.8|13958|  58| 4.2| 0.3|     |    |    |    |18523|  51|149.4| 1.8|17732| 143| 82.7| 4.3|25799| 143|194.5| 5.3
PTF10ygu | 0.025047| 1.06|55495.8| -5.8|     |    |    |    |     |    |    |    |16927|  14|154.2| 0.6|14426|  44| 75.8| 1.6|21477|  44|113.8| 1.1
PTF10ygu | 0.025047| 1.06|55495.8|  0.2|11414|  75|16.1| 0.7|     |    |    |    |15428|  11|140.0| 0.6|14117|  23|133.5| 0.6|20148|  23| 81.3| 1.4
PTF10ygu | 0.025047| 1.06|55495.8|  4.2|10413|  60|16.4| 0.6|11345| 119| 7.2| 1.2|14368|  16|139.1| 0.8|12747|  38|172.3| 1.2|18484|  38| 98.7| 0.6
PTF10yux | 0.057000| 0.83|55496.5| -9.5|     |    |    |    |13489| 308|19.4| 0.7|17020| 298|157.2| 0.7|20596| 298|122.9| 1.2|26970| 298|137.5| 1.1
PTF10yux | 0.057000| 0.83|55496.5|  2.5| 8917| 348|19.4| 2.6|10804| 301|28.0| 1.5|11777| 298|143.1| 1.0| 8833| 306|128.9| 2.9|15090| 306|115.0| 1.5
PTF10yyt | 0.035000| 0.93|55500.6| -1.6|     |    |    |    |10182| 298| 9.3| 0.3|10485| 302|113.5| 2.3| 9363| 749| 83.2| 1.4|15879| 749| 23.7| 4.8
PTF10zai | 0.035700| 1.06|55505.5| -1.5|     |    |    |    |     |    |    |    | 8715|  66| 47.7| 1.7|     |    |     |    |     |    |     |
PTF10zai | 0.035700| 1.06|55505.5|  1.5|     |    |    |    |11583| 393| 5.3| 0.7| 9503|  30| 52.2| 0.2| 8733|  48| 41.1| 0.5|16386|  48| 26.8| 0.6
PTF10zak | 0.040380| 0.81|55500.7| -0.7| 9145|  25|24.0| 1.1|10024| 210|33.3| 3.5|11183|  37|172.3| 1.9|     |    |     |    |     |    |     |
PTF10zak | 0.040380| 0.81|55500.7|  0.3| 8998|  67|20.5| 0.8|10187|  92|22.9| 1.2|11915|  10|116.2| 0.5|     |    |     |    |     |    |     |
PTF10zak | 0.040380| 0.81|55500.7|  2.3| 9028| 107|24.9| 1.3|10123|  82|17.4| 1.2|11209|  17|120.5| 0.9|10194| 997| 94.8|16.3|15125| 997|101.9|15.5
PTF10zbn | 0.114000| 0.87|55504.3| -0.3|     |    |    |    |     |    |    |    | 9957| 388| 24.7| 1.8|     |    |     |    |     |    |     |
PTF10zdk | 0.034000| 1.33|55518.7|-17.7|     |    |    |    |     |    |    |    |17047| 306| 76.0| 1.6|14112| 630| 62.0|11.1|23935| 630|112.3| 8.8
PTF10zdk | 0.034000| 1.33|55518.7|-15.7|     |    |    |    |     |    |    |    |15803| 324| 49.1| 1.5|     |    |     |    |     |    |     |
PTF10zgy | 0.044200| 0.88|55503.2| -0.2|10806|  99|14.6| 1.0|     |    |    |    |11056|  50| 46.2| 1.0|     |    |     |    |     |    |     |
